      8.4635E+03     1594       2.9550E+02
      1.7453E+04     3335       6.9050E+02
      1.8386E+04     3495       6.0150E+02
      1.9433E+04     3706       8.9950E+02
      2.1963E+04     4024       7.1650E+02
      5.4784E+03     1057       2.2500E+02
      6.5428E+03     1231       2.2700E+02
      1.9976E+04     3720       7.3250E+02
      1.7091E+04     3219       5.7450E+02
      6.4027E+03     1220       2.6400E+02
      2.6699E+04     5030       9.6650E+02
      1.9734E+04     3667       7.3650E+02
      1.9502E+04     3678       6.9950E+02
      8.1088E+03     1554       3.1450E+02
      1.8226E+04     3453       5.4550E+02
      1.9801E+04     3771       8.0000E+02
      1.6224E+04     3040       5.9450E+02
      1.9143E+04     3596       7.3400E+02
      1.9771E+04     3673       6.8800E+02
      1.7725E+04     3316       7.0000E+02
      1.7829E+04     3331       7.3600E+02
      1.7739E+04     3487       7.0300E+02
      2.2255E+04     4154       8.7750E+02
      1.7955E+04     3302       6.6600E+02
      1.7959E+04     3312       7.1850E+02
      1.9705E+04     3731       7.6550E+02
      6.9380E+03     1325       2.3300E+02
      1.7835E+04     3356       6.6600E+02
      1.6891E+04     3154       6.5100E+02
      1.9742E+04     3732       7.7500E+02
      1.3764E+04     2636       4.9650E+02
      1.9954E+04     3674       7.4350E+02
      1.7955E+04     3366       6.7100E+02
      1.9197E+04     3643       7.3750E+02
      1.9946E+04     3786       7.5200E+02
      1.7701E+04     3299       7.5700E+02
      1.7468E+04     3288       6.6450E+02
      6.5727E+03     1214       2.3000E+02
      1.8507E+04     3487       5.9250E+02
      6.8594E+03     1323       1.8600E+02
      1.7565E+04     3339       6.7350E+02
      1.7550E+04     3314       7.1200E+02
      1.8015E+04     3455       6.6500E+02
      1.7743E+04     3278       6.7400E+02
      1.9653E+04     3677       7.6550E+02
      1.1540E+04     2178       3.9600E+02
      1.7715E+04     3385       6.3700E+02
      1.7554E+04     3286       6.9450E+02
      2.6391E+04     5023       1.0060E+03
      1.8610E+04     3496       6.3450E+02
      1.9077E+04     3553       7.5200E+02
      1.9617E+04     3639       8.4000E+02
      1.9909E+04     3753       7.0650E+02
      1.7968E+04     3340       7.2250E+02
      1.2342E+04     2340       4.9250E+02
      6.5238E+03     1216       2.4850E+02
      1.7640E+04     3322       6.8050E+02
      4.6084E+03      849       1.6550E+02
      1.6584E+04     3109       6.5150E+02
      1.9551E+04     3733       6.7050E+02
      1.7044E+04     3189       6.4800E+02
      1.8659E+04     3535       5.8600E+02
      1.3632E+04     2610       5.7200E+02
      1.9580E+04     3678       7.5950E+02
      1.7434E+04     3288       6.6900E+02
      1.7451E+04     3253       6.8000E+02
      1.9146E+04     3557       7.7200E+02
      2.4839E+04     4615       8.7850E+02
      1.7747E+04     3267       6.3600E+02
      1.7643E+04     3329       6.9200E+02
      2.0477E+04     3878       1.0085E+03
      1.9711E+04     3723       6.8900E+02
      1.8633E+04     3561       7.6500E+02
      1.7658E+04     3369       6.2400E+02
      1.8221E+04     3435       6.4200E+02
      1.7502E+04     3333       6.5400E+02
      1.6859E+04     3115       5.9000E+02
      1.7887E+04     3409       7.6400E+02
      1.7217E+04     3318       5.2650E+02
      2.3080E+04     4348       8.6100E+02
      1.9303E+04     3553       7.7950E+02
      1.7621E+04     3352       6.9350E+02
      1.8970E+04     3596       7.2400E+02
      2.5936E+04     4873       9.0250E+02
      2.2747E+04     4255       8.6300E+02
      1.7955E+04     3346       7.1600E+02
      1.7799E+04     3315       6.7150E+02
      1.9697E+04     3632       6.8550E+02
      1.7871E+04     3309       6.5350E+02
      7.3131E+03     1406       3.0150E+02
      2.7684E+04     5218       1.0750E+03
      1.9871E+04     3755       7.2300E+02
      1.5135E+04     2863       5.4600E+02
      1.8616E+04     3498       6.5450E+02
      1.9955E+04     3715       7.5700E+02
      1.7516E+04     3377       7.4150E+02
      1.8616E+04     3596       6.9250E+02
      2.4372E+04     4576       8.6800E+02
      1.7508E+04     3277       6.2150E+02
      1.3251E+04     2507       5.0300E+02
      1.9879E+04     3744       6.4350E+02
      1.7781E+04     3297       6.0800E+02
      1.9974E+04     3741       8.3700E+02
      1.8000E+04     3459       6.5850E+02
      1.7541E+04     3256       5.9650E+02
      1.9187E+04     3541       7.1100E+02
      1.8463E+04     3398       6.6100E+02
      1.8264E+04     3522       6.9850E+02
      1.9652E+04     3714       7.0650E+02
      1.8967E+04     3527       6.9250E+02
      1.9682E+04     3678       7.4350E+02
      1.8755E+04     3587       7.5850E+02
      2.4717E+04     4735       9.6300E+02
      1.7702E+04     3258       6.0450E+02
      1.9984E+04     3749       7.3150E+02
      1.9039E+04     3603       7.2600E+02
      2.5057E+04     4761       9.1900E+02
      5.3585E+03     1066       1.6850E+02
      1.7823E+04     3371       6.3450E+02
      2.6439E+04     5029       9.0100E+02
      1.9885E+04     3749       6.7450E+02
      8.4352E+03     1567       3.1150E+02
      1.9574E+04     3627       6.9100E+02
      1.7574E+04     3327       6.4850E+02
      1.9543E+04     3771       6.5100E+02
      2.5985E+04     4842       9.7950E+02
      1.9125E+04     3590       7.4700E+02
      1.6183E+04     3085       6.2650E+02
      1.9691E+04     3676       7.7400E+02
      1.7704E+04     3334       5.8350E+02
      1.7868E+04     3368       6.4900E+02
      1.8961E+04     3551       7.4900E+02
      1.9875E+04     3730       7.4250E+02
      1.7983E+04     3423       6.7650E+02
      1.0381E+04     1960       4.4600E+02
      1.9123E+04     3553       6.7600E+02
      1.7021E+04     3194       6.2950E+02
      2.6285E+04     4929       1.1130E+03
      1.5872E+04     2988       6.6100E+02
      1.7325E+04     3376       7.1150E+02
      1.7556E+04     3311       5.7950E+02
      1.9520E+04     3676       7.7150E+02
      1.9795E+04     3756       8.9900E+02
      7.1802E+03     1291       3.4350E+02
      1.8022E+04     3380       6.6250E+02
      1.9255E+04     3657       7.4950E+02
      2.4960E+04     4756       8.8350E+02
      7.8658E+03     1460       3.4350E+02
      1.9236E+04     3652       6.9100E+02
      1.7712E+04     3321       6.7700E+02
      2.2945E+04     4345       8.7550E+02
      1.9550E+04     3666       6.9300E+02
      1.6424E+04     3094       6.9200E+02
      1.7976E+04     3341       5.7200E+02
      1.9747E+04     3684       6.9950E+02
      1.9691E+04     3770       7.6400E+02
      1.9079E+04     3644       7.5400E+02
      1.8254E+04     3494       6.9850E+02
      1.7576E+04     3313       7.6300E+02
      7.1583E+03     1325       3.2200E+02
      1.8538E+04     3512       7.3950E+02
      1.7974E+04     3375       7.3000E+02
      1.8316E+04     3350       6.9450E+02
      1.9048E+04     3628       7.5850E+02
      1.9963E+04     3795       7.7750E+02
      3.7706E+03      716       1.1750E+02
      1.5789E+04     3010       5.9150E+02
      1.7870E+04     3360       6.6050E+02
      1.7749E+04     3334       6.1100E+02
      1.9282E+04     3708       7.0650E+02
      2.5525E+04     4825       9.6950E+02
      1.0680E+04     2023       3.9900E+02
